Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Tibacuy,2,0.246%,1,0.123%,1,0.123%
Tibirita,2,0.488%,0,0%,2,0.488%
Tocaima,24,0.86%,10,0.358%,14,0.501%
Tocancipá,51,0.409%,16,0.128%,35,0.28%
Topaipí,2,0.269%,0,0%,2,0.269%
Ubalá,6,0.389%,2,0.13%,4,0.259%
Ubaque,10,0.669%,4,0.268%,6,0.401%
Une,8,0.501%,2,0.125%,6,0.376%
Útica,1,0.087%,1,0.087%,0,0%
Venecia,3,0.258%,2,0.172%,1,0.086%
Vergara,1,0.118%,0,0%,1,0.118%
Vianí,64,0.536%,15,0.126%,49,0.41%
Villa De San Diego De Ubaté,2,0.487%,0,0%,2,0.487%
Villagómez,21,0.442%,4,0.084%,17,0.358%
Villapinzón,28,0.452%,6,0.097%,22,0.356%
Villeta,18,0.589%,3,0.098%,15,0.491%
Viotá,2,0.093%,0,0%,2,0.093%
Yacopí,3,0.317%,1,0.106%,2,0.211%
Zipacón,195,0.575%,56,0.165%,139,0.41%
Zipaquirá,0,0%,0,0%,0,0%
