Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Gómez Plata,11,0.409%,2,0.074%,9,0.334%
Granada,4,0.308%,1,0.077%,3,0.231%
Guadalupe,59,0.676%,14,0.16%,45,0.516%
Guarne,9,0.571%,1,0.063%,8,0.507%
Guatapé,5,0.346%,0,0%,5,0.346%
Heliconia,4,0.516%,0,0%,4,0.516%
Hispania,4,0.336%,1,0.084%,3,0.252%
Itagüí,228,0.467%,64,0.131%,164,0.336%
Ituango,21,0.369%,3,0.053%,18,0.316%
Jardín,27,0.929%,5,0.172%,22,0.757%
Jericó,11,0.542%,1,0.049%,10,0.492%
La Ceja,72,0.56%,24,0.187%,48,0.373%
La Estrella,63,0.469%,21,0.156%,42,0.313%
La Pintada,13,0.68%,4,0.209%,9,0.471%
La Unión,31,0.563%,7,0.127%,24,0.436%
Liborina,10,0.525%,2,0.105%,8,0.42%
Maceo,17,0.864%,1,0.051%,16,0.813%
Marinilla,63,0.448%,16,0.114%,47,0.334%
Medellín,"2,947",0.638%,723,0.157%,"2,224",0.482%
Montebello,7,0.633%,1,0.09%,6,0.542%
Murindó,7,0.297%,3,0.127%,4,0.17%
Mutatá,98,1.288%,38,0.499%,60,0.789%
Nariño,18,0.745%,3,0.124%,15,0.621%
Nechí,55,0.553%,18,0.181%,37,0.372%
Necoclí,109,0.82%,24,0.181%,85,0.64%
Olaya,0,0%,0,0%,0,0%
Peñol,10,0.461%,6,0.277%,4,0.185%
Peque,39,0.924%,5,0.119%,34,0.806%
Pueblorrico,7,0.419%,0,0%,7,0.419%
Puerto Berrío,103,1.127%,24,0.263%,79,0.865%
Puerto Nare,11,0.392%,4,0.143%,7,0.249%
Puerto Triunfo,40,0.891%,9,0.201%,31,0.691%
Remedios,63,0.843%,18,0.241%,45,0.602%
Retiro,14,0.342%,4,0.098%,10,0.244%
Rionegro,146,0.635%,38,0.165%,108,0.47%
Sabanalarga,9,0.396%,3,0.132%,6,0.264%
Sabaneta,73,0.505%,19,0.131%,54,0.373%
Salgar,29,0.777%,8,0.214%,21,0.563%
San Andrés De Cuerquía,11,0.531%,3,0.145%,8,0.386%
San Carlos,22,0.552%,8,0.201%,14,0.351%
San Francisco,10,0.635%,1,0.064%,9,0.572%
San Jerónimo,14,0.445%,2,0.064%,12,0.381%
San José De La Montaña,1,0.111%,0,0%,1,0.111%
San Juan De Urabá,30,0.395%,8,0.105%,22,0.29%
San Luis,35,1.021%,4,0.117%,31,0.904%
San Pedro De Los Milagros,39,1.041%,7,0.187%,32,0.854%
San Pedro De Urabá,50,0.468%,15,0.141%,35,0.328%
San Rafael,16,0.552%,1,0.035%,15,0.518%
San Roque,27,0.59%,7,0.153%,20,0.437%
San Vicente Ferrer,10,0.225%,3,0.068%,7,0.158%
Santa Bárbara,23,0.377%,7,0.115%,16,0.262%
Santa Fé De Antioquia,48,0.854%,12,0.213%,36,0.64%
Santa Rosa De Osos,54,0.654%,10,0.121%,44,0.533%
Santo Domingo,5,0.235%,1,0.047%,4,0.188%
Segovia,101,0.994%,20,0.197%,81,0.797%
Sonsón,52,0.686%,12,0.158%,40,0.527%
Sopetrán,19,0.64%,6,0.202%,13,0.438%
Támesis,115,1.507%,14,0.184%,101,1.324%
Tarazá,3,0.267%,1,0.089%,2,0.178%
Tarso,7,0.547%,1,0.078%,6,0.469%
Titiribí,13,0.883%,8,0.543%,5,0.34%
Toledo,456,1.134%,126,0.313%,330,0.821%
Turbo,17,0.586%,3,0.103%,14,0.483%
Uramita,14,0.737%,2,0.105%,12,0.631%
Urrao,54,0.626%,16,0.185%,38,0.44%
Valdivia,38,1.293%,5,0.17%,33,1.123%
Valparaíso,3,0.301%,1,0.1%,2,0.2%
Vegachí,34,1.084%,5,0.159%,29,0.925%
Venecia,26,1.512%,5,0.291%,21,1.221%
Vigía Del Fuerte,4,0.105%,2,0.053%,2,0.053%
Yalí,16,0.988%,3,0.185%,13,0.802%
Yarumal,89,0.854%,14,0.134%,75,0.719%
Yolombó,40,0.813%,10,0.203%,30,0.61%
Yondó,36,0.576%,13,0.208%,23,0.368%
Zaragoza,52,0.587%,13,0.147%,39,0.44%
